S.NO, Name,Movie,Avg E,Avg H,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,Mean_SC0,Mean_SC1,Mean_SC2,Mean_SC3,Mean_SC4,Mean_SC5,Mean_SC6,SD_SC0,SD_SC1,SD_SC2,SD_SC3,SD_SC4,SD_SC5,SD_SC6,Mean_Centroid,SD_Centroid,Mean_Flatness,SD_Flatness,PeakDensity,Tempo
1,Pogadhe,Deepavali,0.083333333,0.25,0.005169071,-0.039819705,-0.08440852,-0.034697723,-0.18931312,-0.095811587,-0.084281357,-0.151622526,0.005152501,-0.131604532,-0.092600254,-0.09407023,-0.022791409,0.265061742,0.424859786,0.400654955,0.520723775,0.46697987,0.427731852,0.56873982,0.105598725,0.143414373,0.142165868,0.160167249,0.160214773,0.170874014,0.115079772,0.312525799,0.188142507,0.028474826,0.06762817,2.363493064,161.4990234
2,Venam Machan,OKOK,0.833333333,0.333333333,-0.065777848,-0.08506293,-0.07797187,-0.061509989,-0.048756191,-0.056117467,-0.009215713,-0.062288107,0.036402159,0.004753496,0.052977931,0.032906224,0.026807673,0.427968277,0.30957011,0.281879219,0.256790299,0.265865382,0.26874282,0.500594987,0.152010299,0.157642284,0.150674429,0.141057329,0.156326145,0.145516308,0.113206504,0.496813271,0.173315871,0.19127837,0.19141163,5.432025547,135.9991776
3,Loosu Penne,Vallavan,0.5,0.25,-0.030731827,-0.052432447,-0.079634306,-0.02521457,-0.074459415,-0.011208203,0.016361385,-0.035825728,0.038788042,0.041505,0.053688172,0.054205878,0.014268246,0.354228766,0.414169142,0.38985795,0.392852821,0.369947907,0.384180633,0.5658296,0.13090986,0.159563898,0.182785193,0.225810942,0.181717798,0.196683699,0.087883808,0.291119394,0.153960479,0.08151941,0.13782781,3.536892759,95.703125
4,Unakenna venum sollu,Yennai Arindhal,0.25,0.583333333,-0.003551746,0.041892315,0.004522659,0.021154387,-0.043209176,-0.100436248,0.007547067,-0.100580827,-0.003425248,-0.092934351,-0.044633141,-0.147163839,-0.056581834,0.372957145,0.429856481,0.505314914,0.392999883,0.461779442,0.416120397,0.623009107,0.149907986,0.139577051,0.152106504,0.164961755,0.196711199,0.206685286,0.141714243,0.223878916,0.14686243,0.015671441,0.053292826,3.043711656,143.5546875
5,Poongatrile,Uyire,0.333333333,0.25,-0.051185577,-0.004529212,0.055123398,-0.11086282,-0.048235494,-0.060371136,0.021126268,-0.090024467,0.001177753,-0.072108966,-0.009317556,-0.130288282,-0.040534929,0.396526643,0.382815887,0.473778834,0.442291235,0.4691937,0.395762198,0.366077547,0.12268891,0.152502513,0.169531434,0.170765187,0.191678727,0.197240862,0.151512871,0.434560717,0.196792096,0.095173895,0.15628448,4.540104487,123.046875
6,Kanave Kanave,David,0.333333333,0.333333333,0.007375059,-0.057541395,-0.035730232,-0.078563858,-0.058686802,-0.193188327,-0.083819381,-0.140048143,-0.04895507,-0.048099425,0.005043337,-0.015404156,-0.025355116,0.307094837,0.416169872,0.431655962,0.467321091,0.421350672,0.521757141,0.511628715,0.115191474,0.144945772,0.167259368,0.164450525,0.167090542,0.160820713,0.088344165,0.216248502,0.163589409,0.058995042,0.109155774,1.872105588,95.703125
7,Mudhal Murai,NEP,0.583333333,0.333333333,-0.023428501,-0.061216668,-0.030685992,-0.000260396,-0.073126736,0.00838883,-0.019240293,-0.123189302,0.012845344,-0.089479471,-0.022217282,0.037326497,0.003923803,0.339172784,0.361939916,0.353691153,0.445121371,0.388196107,0.420799803,0.637623726,0.142717934,0.141580163,0.154197149,0.18742219,0.19753787,0.2111967,0.102528094,0.166049282,0.094961083,0.07746199,0.10865419,5.584446861,123.046875
8,Aaluma Doluma,Vedalam,1,0.916666667,-0.045564747,-0.049053379,-0.044344655,-0.063251189,-0.00793865,-0.03749006,0.008486773,-0.007439358,0.010628848,-0.003460078,-0.026712844,-0.045217372,-0.027996284,0.291796869,0.318406387,0.40650085,0.318927854,0.387494918,0.276450512,0.519815258,0.119149765,0.126430703,0.176415255,0.155681165,0.186694552,0.166598067,0.101020017,0.350732351,0.087376946,0.11315407,0.10087238,5.052703941,161.4990234
9,Ballelakka,Sivaji,0.75,0.833333333,-0.03970542,-0.055113137,-0.04665066,-0.041975702,-0.093373721,-0.0815375,0.042735233,-0.138816971,-0.003864474,0.07434395,-0.044237996,-0.041234592,-0.025342667,0.255258152,0.352219503,0.398470297,0.345555039,0.328393316,0.360686835,0.447107211,0.110609102,0.173909062,0.166557888,0.159593193,0.186484769,0.191462274,0.140523476,0.291129898,0.125668636,0.11150255,0.14163888,6.880136986,143.5546875
10,Oh Maname,Ullam Ketkume,0.25,0,-0.044218787,0.053870488,-0.059162489,0.008677785,-0.074424815,-0.127902407,0.096885137,-0.011551468,-0.037648196,0.082082616,-0.069681105,-0.068678213,-0.011089427,0.343896844,0.444233661,0.458271208,0.447058127,0.456594302,0.435518735,0.643997537,0.134449986,0.178795293,0.166589074,0.194980645,0.194089856,0.172578566,0.131798863,0.311187138,0.161575696,0.08739258,0.13041931,3.532575526,107.6660156
11,Sambo Siva Sambo,Naadodigal,1,0.25,-0.057899342,-0.013786538,0.021961854,-0.017790819,0.017125137,-0.020509978,0.005071123,-0.020068943,0.000769592,0.000945617,0.033885427,-0.049000609,-0.000794628,0.275318963,0.368991454,0.311035053,0.391081304,0.369803686,0.351423836,0.525651935,0.117373187,0.153181378,0.139298423,0.180064365,0.169445884,0.15633759,0.099687943,0.323431254,0.148207692,0.1588582,0.16284394,5.211573651,112.3471467
12,Ennama Kannu,Thiruvilayadal Arambam,0.75,0.666666667,-0.042777799,0.023380351,-0.026216644,0.023984749,-0.044939073,-0.085600004,0.058259125,-0.103871151,0.015966061,0.028401936,-0.021923521,-0.002973026,-0.046079462,0.362177873,0.447071458,0.396221362,0.435679747,0.455422982,0.445541027,0.532660958,0.126545323,0.163730378,0.145420613,0.180473194,0.17069021,0.1665637,0.118498795,0.356951343,0.170014491,0.10643974,0.12446066,5.505785627,135.9991776
13,Malligaiye Malligaiye,Ninaithen Vandhai,0.5,0.666666667,-0.065737818,-0.023385889,0.029589895,-0.030731421,-0.044277244,-0.08016724,-0.023409894,-0.063224317,-0.047036022,-0.048434839,0.052320824,0.018809483,0.025776274,0.340774419,0.421105668,0.447777296,0.439374649,0.433512648,0.383898218,0.613914002,0.122990529,0.164898643,0.159505873,0.170848613,0.168974094,0.161003148,0.124252892,0.328947532,0.142159564,0.11629571,0.14719123,6.000228033,117.4538352
14,Yaarendru Therigiradha,Viswaroopam,0.833333333,0.583333333,-0.033306294,-0.055607675,-0.000336649,-0.019938671,-0.000614483,-0.007706608,0.0571936,0.040622359,0.042407595,-0.00086658,0.039163156,-0.00529465,-0.017937352,0.292193006,0.297515319,0.453690099,0.429649013,0.442032792,0.252410707,0.620248066,0.138597135,0.124464314,0.159391549,0.164139069,0.166503604,0.086562224,0.092104827,0.238910193,0.099255311,0.1346804,0.11591277,2.753731343,129.1992188
15,Vidaikodu Engal Naade,Kannathil Muthamittal,0.25,0.166666667,-0.009058307,-0.007040883,-0.004612402,-0.00390911,-0.071414977,-0.018977182,0.061676824,-0.050192453,-0.004355161,0.018064236,-0.003013501,-0.055676004,-0.031936009,0.303671813,0.339887406,0.431814538,0.408057434,0.499929819,0.437827324,0.514742188,0.154507935,0.140316353,0.184077022,0.177792837,0.161506093,0.185704322,0.14494223,0.363259647,0.175402963,0.10499008,0.10837722,3.450598343,135.9991776
16,Ra Ra Sarasuku,Chandramuki,0.75,0.583333333,-0.040262358,-0.065379502,0.002053158,-0.086726952,0.007088997,-0.080051105,0.006525545,-0.005983742,0.021953627,-0.052348138,-0.004847525,0.010307468,0.040743538,0.352902292,0.332101756,0.435649905,0.424777489,0.415411128,0.378844117,0.598178504,0.150731772,0.146386518,0.160470795,0.196038268,0.177358049,0.173084853,0.123118267,0.408926192,0.131770227,0.08309168,0.103392385,4.798046379,95.703125
17,Neruppu da,Kabali,1,0.5,-0.01580202,-0.117477085,0.052577217,-0.002250202,-0.021616168,-0.04085555,-0.091691223,0.019897793,-0.019881614,-0.076595277,0.021056488,0.014506398,-0.035504963,0.279586353,0.319966005,0.390807142,0.406618865,0.382023334,0.37182223,0.536249333,0.131043008,0.137290213,0.151598055,0.170649464,0.131999462,0.140608917,0.130431492,0.305319205,0.143306208,0.09270223,0.10502881,2.980666457,117.4538352
18,Anal Mele,Vaaranam Aayiram,0.166666667,0.583333333,-0.01942489,0.044248629,-0.064350496,0.090287537,-0.119712888,-0.058491303,-0.078442026,-0.183104324,-0.045848531,-0.124963916,-0.075873741,-0.048527658,-0.015383173,0.272518372,0.50361896,0.404035171,0.390913831,0.366991,0.464142544,0.602716052,0.08129268,0.155294065,0.161599838,0.13861114,0.101171294,0.148650675,0.114896106,0.445800163,0.156396188,0.054762,0.09546587,3.0325489,117.4538352
19,Manjal Veiyil,Vettaiyadu Vilayadu,0.666666667,0.75,-0.071592465,-0.00830207,-0.030194047,-0.00713816,-0.016914057,-0.078790446,0.010424638,-0.092298101,-0.082340835,-0.073071055,-0.089679881,-0.053540729,-0.029525499,0.380409609,0.329382165,0.336160558,0.436843389,0.325067892,0.270681596,0.393681873,0.134774032,0.129916037,0.14678594,0.166728175,0.164746388,0.139078731,0.121191744,0.428554497,0.184304824,0.1699473,0.232279,4.471866423,117.4538352
20,Makka Kalangudhappa,Dharmadurai,0.666666667,0.5,-0.054941083,-0.081985463,-0.119516763,-0.075416514,-0.134482118,-0.184868457,-0.109896665,-0.156292471,-0.05407846,-0.07254886,-0.087167834,-0.036021973,-0.117141227,0.329963448,0.38410058,0.392041067,0.37084001,0.357971459,0.340224514,0.434086083,0.159527997,0.179830696,0.188936743,0.201760607,0.178534881,0.184288056,0.165161614,0.28926521,0.161342606,0.17567167,0.27105471,5.340712743,129.1992188
21,Ava Enna ,Vaaranam Aayiram,0.666666667,0.25,-0.021105808,-0.015027311,-0.029580239,-0.045200675,-0.047857661,-0.071124149,-0.056862095,-0.10873478,-0.03836029,-0.044032919,-0.092365902,-0.071607377,-0.076373277,0.363350071,0.372950117,0.39772495,0.391112987,0.427714396,0.304019213,0.384178272,0.127662449,0.13878573,0.161804657,0.147883601,0.159811625,0.156966511,0.136434915,0.411957857,0.168584946,0.088054605,0.14313054,5.958549618,135.9991776
22,Kannodu Kanbadhellam,Jeans,0.583333333,0.583333333,-0.006814856,-0.008762784,-0.003463404,-0.002649769,-0.040173214,0.00600729,-0.020254461,-0.032426583,0.001699802,-0.065014945,-0.002163091,-0.025757065,0.004313795,0.31848215,0.429002913,0.42522975,0.361615719,0.291198549,0.374853643,0.516266581,0.134660436,0.160802779,0.171801361,0.184028603,0.194327465,0.182934746,0.1595383,0.333479794,0.151494377,0.1170111,0.14213173,8.969945355,129.1992188
23,Ovvoru Pookalume,Autograph,0.333333333,0.333333333,-0.021486826,0.012681327,0.005217469,-0.045184261,-0.052730414,-0.016247155,-0.040451233,-0.055821472,-0.013973503,-0.014244123,0.021850402,-0.011006045,0.029051166,0.227378619,0.386780861,0.443267449,0.370863647,0.395395939,0.360201658,0.356271993,0.097022462,0.165370692,0.175965584,0.159407366,0.19640812,0.209607403,0.114815721,0.276603099,0.162799619,0.06792858,0.12472682,5.258182668,151.9990809
24,Mannipaaya,VTV,0.25,0.25,0.007248693,-0.015206789,-0.018572646,0.008971686,-0.072640207,-0.009560379,-0.028827768,-0.068131476,-0.022262627,-0.041542264,-0.009847459,-0.007772158,0.032358383,0.379523192,0.431274449,0.473959764,0.504756764,0.538439768,0.355520415,0.424787603,0.124933399,0.142671399,0.151488221,0.14074699,0.15501899,0.170529511,0.144605898,0.218520888,0.152605314,0.030479623,0.05619571,3.012665029,117.4538352
25,Takkaru Takkaru,HipHop Album,0.916666667,0.5,-0.026990506,-0.046603341,-0.020315105,-0.035640329,-0.021001154,-0.015900363,0.001841892,-0.045124609,0.006237068,0.00562737,-0.028036153,0.000680951,-0.009368615,0.310943715,0.364429719,0.421927466,0.360217876,0.440685721,0.306891304,0.55211024,0.108552376,0.145111124,0.164276195,0.179933066,0.139640772,0.143751648,0.094470266,0.386254105,0.126501477,0.15747257,0.12761539,4.647067807,99.38401442
26,Udhungada Sangu,VIP,0.75,0.25,-0.008564565,0.002728439,0.000701486,-0.020389806,0.000453744,-0.016743787,0.019507699,-0.020385926,0.014308388,-0.003236563,-0.028438786,-0.02503471,-0.018676557,0.281957941,0.386816686,0.519676164,0.429940894,0.376027228,0.338453473,0.591315482,0.101113307,0.141992869,0.14911335,0.159035881,0.159877039,0.148245861,0.123772074,0.263916024,0.118848759,0.07159702,0.0873908,4.379010082,172.265625
